Pharmacy.json
Pharmacy.Clothes.Feet.Shoes.Sneakers_02_01,Uncommon,Rare,VeryRare,VeryRare,Uncommon
Pharmacy.Clothes.Feet.Slippers.Slippers_01,Uncommon,Rare,VeryRare,Rare,Rare
Pharmacy.Clothes.Feet.Slippers.Slippers_03,Uncommon,Rare,VeryRare,Rare,Rare
Pharmacy.Clothes.Feet.Socks.Sock_01,Uncommon,Rare,VeryRare,Uncommon,Rare
Pharmacy.Clothes.Hands.Medical_Gloves.Medical_Glove_01,Uncommon,Rare,VeryRare,Abundant,VeryRare
Pharmacy.Clothes.Hands.WoolGloves.Wool_Gloves_01_01,Uncommon,Rare,VeryRare,VeryRare,Rare
Pharmacy.Clothes.Head.Caps.Baseball_Cap_01,Uncommon,Rare,Rare,Rare,Rare
Pharmacy.Clothes.Head.Hats.Beenie_01,Uncommon,Rare,Rare,Rare,Rare
Pharmacy.Clothes.Head.Hats.Boonie_Hat_01,Uncommon,Rare,Rare,Rare,Rare
Pharmacy.Clothes.Legs.Pants.Hospital_Pants,Uncommon,Rare,Common,Common,Rare
Pharmacy.Clothes.Legs.Pants.Pajama_Pants,Uncommon,Rare,Common,Common,Rare
Pharmacy.Clothes.Legs.SweatPants.Tracksuit_Pants_01_01,Uncommon,Rare,Common,Rare,Rare
Pharmacy.Clothes.Legs.Underwear.PenisWarmer_01,Uncommon,Rare,Common,Uncommon,Rare
Pharmacy.Clothes.Legs.Underwear.Underpants_01,Uncommon,Rare,Common,Uncommon,Uncommon
Pharmacy.Clothes.Legs.WorkPants.Working_pants_01_01,Uncommon,Rare,Common,ExtremelyRare,VeryRare
Pharmacy.Clothes.Torso.Hoodies.Hoodie_01,Uncommon,Rare,Uncommon,Rare,Rare
Pharmacy.Clothes.Torso.Raincoats.Raincoat_01,Uncommon,Rare,Uncommon,VeryRare,VeryRare
Pharmacy.Clothes.Torso.Shirts.Hospital_Shirt_01,Uncommon,Rare,Uncommon,Uncommon,Common
Pharmacy.Clothes.Torso.Shirts.Pajama_Shirt_01,Uncommon,Rare,Uncommon,Uncommon,Uncommon
Pharmacy.Clothes.Torso.Shirts.Shirt_01,Uncommon,Rare,Uncommon,Uncommon,Rare
Pharmacy.Clothes.Torso.Tracksuits.Tracksuit_Top_01,Uncommon,Rare,Uncommon,Rare,Rare
Pharmacy.Clothes.Torso.WorkJackets.Work_Jacket_01,Uncommon,Rare,Uncommon,VeryRare,VeryRare
Pharmacy.Items.1H_Scalpel,Uncommon,Uncommon,VeryRare
Pharmacy.Items.Batteries,Uncommon,Uncommon,Rare
Pharmacy.Items.Bobby_pin,Uncommon,Uncommon,Uncommon
Pharmacy.Items.Crutch,Uncommon,Uncommon,VeryRare
Pharmacy.Items.Disposable_Mask,Uncommon,Uncommon,Common
Pharmacy.Items.Fabric.EmptyBag,Uncommon,Uncommon,Uncommon,Rare
Pharmacy.Items.Fabric.Rag_Stripes,Uncommon,Uncommon,Uncommon,Uncommon
Pharmacy.Items.Fabric.Rags,Uncommon,Uncommon,Uncommon,Rare
Pharmacy.Items.FirstAid.Antibiotics.Antibiotics_01,Uncommon,Uncommon,Common,Rare,Common
Pharmacy.Items.FirstAid.Antibiotics.Antibiotics_02,Uncommon,Uncommon,Common,Rare,VeryRare
Pharmacy.Items.FirstAid.Antibiotics.Antibiotics_03,Uncommon,Uncommon,Common,Rare,ExtremelyRare
Pharmacy.Items.FirstAid.AntiburnGel,Uncommon,Uncommon,Common,Rare
Pharmacy.Items.FirstAid.Bandages.Emergency_bandage,Uncommon,Uncommon,Common,Abundant,Abundant
Pharmacy.Items.FirstAid.Bandages.Emergency_bandage_Big,Uncommon,Uncommon,Common,Abundant,Uncommon
Pharmacy.Items.FirstAid.Bandages.Hemostatic_Dressing,Uncommon,Uncommon,Common,Abundant,Rare
Pharmacy.Items.FirstAid.Bandages.Pressure_Dressing,Uncommon,Uncommon,Common,Abundant,VeryRare
Pharmacy.Items.FirstAid.Bandages.Tourniquet,Uncommon,Uncommon,Common,Abundant,VeryRare
Pharmacy.Items.FirstAid.Charcoal.ActivatedCharcoal_01,Uncommon,Uncommon,Common,Uncommon,Common
Pharmacy.Items.FirstAid.Charcoal.ActivatedCharcoal_02,Uncommon,Uncommon,Common,Uncommon,VeryRare
Pharmacy.Items.FirstAid.Charcoal.ActivatedCharcoal_03,Uncommon,Uncommon,Common,Uncommon,ExtremelyRare
Pharmacy.Items.FirstAid.Painkillers.Painkillers_01,Uncommon,Uncommon,Common,Common,Rare
Pharmacy.Items.FirstAid.Painkillers.Painkillers_02,Uncommon,Uncommon,Common,Common,VeryRare
Pharmacy.Items.FirstAid.Painkillers.PainKillers_03,Uncommon,Uncommon,Common,Common,ExtremelyRare
Pharmacy.Items.FirstAid.Potassium.PotassiumIodide_Pills_01,Uncommon,Uncommon,Common,VeryRare,Rare
Pharmacy.Items.FirstAid.Potassium.PotassiumIodide_Pills_02,Uncommon,Uncommon,Common,VeryRare,VeryRare
Pharmacy.Items.FirstAid.Potassium.PotassiumIodide_Pills_03,Uncommon,Uncommon,Common,VeryRare,ExtremelyRare
Pharmacy.Items.FirstAid.Vitamins.Vitamins_01,Uncommon,Uncommon,Common,Abundant,Rare
Pharmacy.Items.FirstAid.Vitamins.Vitamins_02,Uncommon,Uncommon,Common,Abundant,VeryRare
Pharmacy.Items.FirstAid.Vitamins.Vitamins_03,Uncommon,Uncommon,Common,Abundant,ExtremelyRare
Pharmacy.Items.Glass,Uncommon,Uncommon,Uncommon
Pharmacy.Items.Isopropyl_alcohol,Uncommon,Uncommon,Rare
Pharmacy.Items.Magnifying_Glass1,Uncommon,Uncommon,VeryRare
Pharmacy.Items.Needle,Uncommon,Uncommon,Rare
Pharmacy.Items.Paper,Uncommon,Uncommon,Uncommon
Pharmacy.Items.Pen,Uncommon,Uncommon,Rare
Pharmacy.Items.Rubber_band,Uncommon,Uncommon,Rare
Pharmacy.Items.Scissors.Scissors_01,Uncommon,Uncommon,VeryRare,Rare
Pharmacy.Items.Scissors.Scissors_Plastic,Uncommon,Uncommon,VeryRare,VeryRare
Pharmacy.Items.Syringe,Uncommon,Uncommon,Rare
Pharmacy.Items.Thread,Uncommon,Uncommon,Rare
Pharmacy.Other.Backpacks.Plain.Backpack_02_01,Uncommon,VeryRare,VeryRare,Rare,Rare
Pharmacy.Other.Backpacks.WaistBags.Waist_Bag_Small_01,Uncommon,VeryRare,VeryRare,Rare,Rare
Pharmacy.Other.Drink.NonAlcoholic.Cream,Uncommon,VeryRare,Rare,Rare,VeryRare
Pharmacy.Other.Drink.NonAlcoholic.Juice.GlassBottle01,Uncommon,VeryRare,Rare,Rare,Rare,Rare
Pharmacy.Other.Drink.NonAlcoholic.Milk,Uncommon,VeryRare,Rare,Rare,VeryRare
Pharmacy.Other.Drink.NonAlcoholic.Soda.Can01,Uncommon,VeryRare,Rare,Rare,Rare,Rare
Pharmacy.Other.Drink.NonAlcoholic.Soda.PETBottle01,Uncommon,VeryRare,Rare,Rare,Rare,VeryRare
Pharmacy.Other.Drink.NonAlcoholic.Water_05l,Uncommon,VeryRare,Rare,Rare,Rare
Pharmacy.Other.Food.Cans.BakedBeans,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.BeefRavioli,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.BeefStew,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.BlackOlives,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.Canned_Corn,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.Canned_Tuna,Uncommon,VeryRare,Rare,VeryRare,Uncommon
Pharmacy.Other.Food.Cans.CannedFruitCoctail,Uncommon,VeryRare,Rare,VeryRare,VeryRare
Pharmacy.Other.Food.Cans.CannedGoulash,Uncommon,VeryRare,Rare,VeryRare,VeryRare
Pharmacy.Other.Food.Cans.CannedPeach,Uncommon,VeryRare,Rare,VeryRare,VeryRare
Pharmacy.Other.Food.Cans.CannedPear,Uncommon,VeryRare,Rare,VeryRare,VeryRare
Pharmacy.Other.Food.Cans.CannedPeas,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.CannedSardine,Uncommon,VeryRare,Rare,VeryRare,Uncommon
Pharmacy.Other.Food.Cans.CannedSpaghetti,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.Chow_Mein,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Cans.GuavaHalves,Uncommon,VeryRare,Rare,VeryRare,Uncommon
Pharmacy.Other.Food.Cans.MRE_Cheeseburger,Uncommon,VeryRare,Rare,VeryRare,VeryRare
Pharmacy.Other.Food.Dairy.Butter,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Dairy.Cheese,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Dairy.CheesePacked,Uncommon,VeryRare,Rare,VeryRare,Rare
Pharmacy.Other.Food.Dairy.Richards_Cheese,Uncommon,VeryRare,Rare,VeryRare,Uncommon
Pharmacy.Other.Food.Fruit.Apple,Uncommon,VeryRare,Rare,Rare,Uncommon
Pharmacy.Other.Food.Fruit.Apple_2,Uncommon,VeryRare,Rare,Rare,Uncommon
Pharmacy.Other.Food.Fruit.Banana,Uncommon,VeryRare,Rare,Rare,Rare
