DeadPuppets.json
DeadPuppets.Civilian.Items.Batteries,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Civilian.Items.Cigarettes,Uncommon,Uncommon,Uncommon,VeryRare
DeadPuppets.Civilian.Items.Diary,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Duct_Tape,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Civilian.Items.Fabric.EmptyBag,Uncommon,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Fabric.Rag_Stripes,Uncommon,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Fabric.Rags,Uncommon,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Civilian.Items.Glue,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Lighter,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Lockpicks.Bobby_Pin_Pacage,Uncommon,Uncommon,Uncommon,Uncommon,Abundant
DeadPuppets.Civilian.Items.Lockpicks.Lockpick_Advanced_Item,Uncommon,Uncommon,Uncommon,Uncommon,ExtremelyRare
DeadPuppets.Civilian.Items.Lockpicks.Lockpick_Item,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
DeadPuppets.Civilian.Items.Lockpicks.Safety_pin,Uncommon,Uncommon,Uncommon,Uncommon,Abundant
DeadPuppets.Civilian.Items.Magnifying_Glass1,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Civilian.Items.Matches,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Civilian.Items.Mobile_Phone,Uncommon,Uncommon,Uncommon,VeryRare
DeadPuppets.Civilian.Items.Money.Cash,Uncommon,Uncommon,Uncommon,VeryRare,Rare
DeadPuppets.Civilian.Items.Needle,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Civilian.Items.Padlock,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Paper,Uncommon,Uncommon,Uncommon,VeryRare
DeadPuppets.Civilian.Items.Pen,Uncommon,Uncommon,Uncommon,Rare
DeadPuppets.Civilian.Items.Screwdriver_Small,Uncommon,Uncommon,Uncommon,Uncommon
DeadPuppets.Hospital.Items.Batteries,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Cigarettes,Uncommon,Common,Rare,VeryRare
DeadPuppets.Hospital.Items.Diary,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Duct_Tape,Uncommon,Common,Rare,Uncommon
DeadPuppets.Hospital.Items.Fabric.Rags,Uncommon,Common,Rare,Common,Uncommon
DeadPuppets.Hospital.Items.FirstAid.Antibiotics.Antibiotics_01,Uncommon,Common,Rare,Rare,Rare,Rare
DeadPuppets.Hospital.Items.FirstAid.Bandages.Emergency_bandage,Uncommon,Common,Rare,Rare,Abundant,Rare
DeadPuppets.Hospital.Items.FirstAid.Charcoal.ActivatedCharcoal_01,Uncommon,Common,Rare,Rare,Rare,VeryRare
DeadPuppets.Hospital.Items.FirstAid.Painkillers.Painkillers_01,Uncommon,Common,Rare,Rare,Common,Rare
DeadPuppets.Hospital.Items.FirstAid.Potassium.PotassiumIodide_Pills_01,Uncommon,Common,Rare,Rare,Uncommon,VeryRare
DeadPuppets.Hospital.Items.FirstAid.Vitamins.Vitamins_01,Uncommon,Common,Rare,Rare,Common,Rare
DeadPuppets.Hospital.Items.Glue,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Lighter,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Lockpicks.Bobby_Pin_Pacage,Uncommon,Common,Rare,Uncommon,Common
DeadPuppets.Hospital.Items.Lockpicks.Lockpick_Advanced_Item,Uncommon,Common,Rare,Uncommon,ExtremelyRare
DeadPuppets.Hospital.Items.Lockpicks.Lockpick_Item,Uncommon,Common,Rare,Uncommon,VeryRare
DeadPuppets.Hospital.Items.Lockpicks.Safety_pin,Uncommon,Common,Rare,Uncommon,Common
DeadPuppets.Hospital.Items.Magnifying_Glass1,Uncommon,Common,Rare,Uncommon
DeadPuppets.Hospital.Items.Matches,Uncommon,Common,Rare,Uncommon
DeadPuppets.Hospital.Items.Mobile_Phone,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Needle,Uncommon,Common,Rare,Uncommon
DeadPuppets.Hospital.Items.Padlock,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Paper,Uncommon,Common,Rare,VeryRare
DeadPuppets.Hospital.Items.Pen,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Scissors_01,Uncommon,Common,Rare,Rare
DeadPuppets.Hospital.Items.Screwdriver_Small,Uncommon,Common,Rare,Uncommon
DeadPuppets.Hospital.Items.Smartphone_Battery,Uncommon,Common,Rare,Rare
DeadPuppets.Military.ammo.12Gauge.SmallStash.12_Gauge_Birdshot,Uncommon,Common,Rare,Common,Common,Rare
DeadPuppets.Military.ammo.12Gauge.SmallStash.12_Gauge_Buckshot,Uncommon,Common,Rare,Common,Common,Rare
DeadPuppets.Military.ammo.12Gauge.SmallStash.12_Gauge_Slug,Uncommon,Common,Rare,Common,Common,VeryRare
