HuntingTower.json
HuntingTower.Clothes.Backpacks.Backpack_02_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Backpacks.Waist_Bag_Small_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Belt_Pistol_Holster,Uncommon,Common,VeryRare
HuntingTower.Clothes.Hands.Wool_Gloves_01_01,Uncommon,Common,Uncommon,VeryRare
HuntingTower.Clothes.Head.Boonie_Hat_01,Uncommon,Common,Uncommon,Common
HuntingTower.Clothes.Head.SlouchHats.Slouch_Hat_01,Uncommon,Common,Uncommon,Uncommon,Uncommon
HuntingTower.Clothes.Jackets.Trucker_Jacket_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Jackets.Work_Jacket_01,Uncommon,Common,Rare,VeryRare
HuntingTower.Clothes.Pants.Jeans_01_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Pants.PenisWarmer_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Pants.Tracksuit_Pants_01_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Raincoats.Raincoat_01,Uncommon,Common,Rare,Rare
HuntingTower.Clothes.Shirts.Woodcuters_Shirt_01,Uncommon,Common,Uncommon,Rare
HuntingTower.Clothes.Shoes.Hiking_Boots_01,Uncommon,Common,Uncommon,Rare
HuntingTower.Clothes.Shoes.Hiking_Boots_04,Uncommon,Common,Uncommon,VeryRare
HuntingTower.FoodDrink.Drink.Beer,Uncommon,Uncommon,VeryRare,Rare
HuntingTower.FoodDrink.Drink.Can01,Uncommon,Uncommon,VeryRare,Uncommon
HuntingTower.FoodDrink.Drink.Kicmovaca,Uncommon,Uncommon,VeryRare,ExtremelyRare
HuntingTower.FoodDrink.Food.Apple,Uncommon,Uncommon,Uncommon,Common
HuntingTower.FoodDrink.Food.Apple_2,Uncommon,Uncommon,Uncommon,Common
HuntingTower.FoodDrink.Food.Banana,Uncommon,Uncommon,Uncommon,Common
