Kitchen.json
Kitchen.Drinks.Alcoholic.Absinthe,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare
Kitchen.Drinks.Alcoholic.Beers.Beer,Uncommon,ExtremelyRare,VeryRare,Uncommon,Rare
Kitchen.Drinks.Alcoholic.Coctails.Scum_Sunrise,Uncommon,ExtremelyRare,VeryRare,VeryRare,VeryRare
Kitchen.Drinks.Alcoholic.Hip_Flask,Uncommon,ExtremelyRare,VeryRare,VeryRare
Kitchen.Drinks.Alcoholic.Isopropyl_alcohol,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare
Kitchen.Drinks.Alcoholic.Kicmovaca,Uncommon,ExtremelyRare,VeryRare,ExtremelyRare
Kitchen.Drinks.Alcoholic.Tequila,Uncommon,ExtremelyRare,VeryRare,Rare
Kitchen.Drinks.Alcoholic.Vodka,Uncommon,ExtremelyRare,VeryRare,Rare
Kitchen.Drinks.Alcoholic.Whiskey,Uncommon,ExtremelyRare,VeryRare,Rare
Kitchen.Drinks.Alcoholic.Wine,Uncommon,ExtremelyRare,VeryRare,Rare
Kitchen.Drinks.NonAlcoholic.Cream,Uncommon,ExtremelyRare,Rare,VeryRare
Kitchen.Drinks.NonAlcoholic.Juice.GlassBottle01,Uncommon,ExtremelyRare,Rare,Rare,Rare
Kitchen.Drinks.NonAlcoholic.Milk,Uncommon,ExtremelyRare,Rare,VeryRare
Kitchen.Drinks.NonAlcoholic.Soda.Can01,Uncommon,ExtremelyRare,Rare,Rare,Rare
Kitchen.Drinks.NonAlcoholic.Soda.PETBottle01,Uncommon,ExtremelyRare,Rare,Rare,VeryRare
Kitchen.Drinks.NonAlcoholic.Tea_Pack,Uncommon,ExtremelyRare,Rare,Uncommon
Kitchen.Drinks.NonAlcoholic.Water_05l,Uncommon,ExtremelyRare,Rare,Uncommon
Kitchen.Food.Animal.Egg,Uncommon,VeryRare,ExtremelyRare,ExtremelyRare
Kitchen.Food.Cans.BakedBeans,Uncommon,VeryRare,VeryRare,Rare
Kitchen.Food.Cans.BeefRavioli,Uncommon,VeryRare,VeryRare,Rare
Kitchen.Food.Cans.BeefStew,Uncommon,VeryRare,VeryRare,Rare
