ChineseStore.json
ChineseStore.Clothes.Hats.Bamboo_Hat_01,Uncommon,Uncommon,Uncommon,Rare
ChineseStore.Clothes.Pants.Shimoro_Pants,Uncommon,Uncommon,Uncommon,VeryRare
ChineseStore.Clothes.Pants.Tang_pants_01,Uncommon,Uncommon,Uncommon,Uncommon
ChineseStore.Clothes.Shirts.Shimoro_Vest,Uncommon,Uncommon,Uncommon,VeryRare
ChineseStore.Clothes.Shirts.Tang_shirt_01,Uncommon,Uncommon,Uncommon,Uncommon
ChineseStore.Clothes.Shoes.Beijing_Shoes_01,Uncommon,Uncommon,Uncommon,Rare
ChineseStore.Misc.Double_Bang_Firecracker,Uncommon,Uncommon,Rare
ChineseStore.Misc.Hand_Fan_01,Uncommon,Uncommon,Rare
ChineseStore.Weapons.Spears.Wushu_Spear_Metal,Uncommon,Uncommon,Uncommon,Uncommon
ChineseStore.Weapons.Spears.Wushu_Spear_Wooden,Uncommon,Uncommon,Uncommon,Rare
ChineseStore.Weapons.Swords.2H_Tang_Dao,Uncommon,Uncommon,Uncommon,Rare
