Castle.json
Castle.ammo.Arrows.BigStash.Carbon_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
Castle.ammo.Arrows.BigStash.Carbon_BroadHead_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
Castle.ammo.Arrows.BigStash.Metal_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
Castle.ammo.Arrows.BigStash.Metal_BroadHead_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
Castle.ammo.Arrows.SmallStash.Carbon_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,Rare
Castle.ammo.Arrows.SmallStash.Carbon_BroadHead_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,Rare
Castle.ammo.Arrows.SmallStash.Metal_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,Rare
Castle.ammo.Arrows.SmallStash.Metal_BroadHead_Arrow,Uncommon,Uncommon,Uncommon,Uncommon,Rare
Castle.ammo.Bolts.BigStash.Ammo_Crossbow_Bolt_Carbon,Uncommon,Uncommon,Uncommon,Uncommon,ExtremelyRare
Castle.ammo.Bolts.BigStash.Ammo_Crossbow_Bolt_Metal,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
Castle.ammo.Bolts.SmallStash.Ammo_Crossbow_Bolt_Carbon,Uncommon,Uncommon,Uncommon,Uncommon,ExtremelyRare
Castle.ammo.Bolts.SmallStash.Ammo_Crossbow_Bolt_Metal,Uncommon,Uncommon,Uncommon,Uncommon,VeryRare
Castle.Clothes.Feet.Kilt_01,Uncommon,Uncommon,Uncommon,Rare
Castle.Clothes.Feet.RH_Tights,Uncommon,Uncommon,Uncommon,VeryRare
Castle.Clothes.Head.Medieval_Helmet_01,Uncommon,Uncommon,Uncommon,Rare
Castle.Clothes.Shoes.Kilt_Brogue_Shoe_01,Uncommon,Uncommon,Uncommon,VeryRare
Castle.Clothes.Shoes.Kilt_Sock_01,Uncommon,Uncommon,Uncommon,Rare
Castle.Clothes.Shoes.RH_Shoe_01,Uncommon,Uncommon,Uncommon,Rare
Castle.Clothes.Torso.Scottish_Sporran_Bag_01,Uncommon,Uncommon,Uncommon,ExtremelyRare
Castle.Weapons.1H_Medieval_Sword,Uncommon,Uncommon,VeryRare
Castle.Weapons.1H_Metal_Sword,Uncommon,Uncommon,Rare
Castle.Weapons.Bows.Recurve_Bow,Uncommon,Uncommon,Uncommon,Common
Castle.Weapons.Bows.Recurve_Bow_50,Uncommon,Uncommon,Uncommon,Common
Castle.Weapons.Bows.Recurve_Bow_60,Uncommon,Uncommon,Uncommon,Uncommon
Castle.Weapons.Bows.Recurve_Bow_70,Uncommon,Uncommon,Uncommon,Uncommon
Castle.Weapons.Bows.Recurve_Bow_80,Uncommon,Uncommon,Uncommon,Rare
Castle.Weapons.Bows.Recurve_Bow_90,Uncommon,Uncommon,Uncommon,Rare
Castle.Weapons.Bows.Recurve_Bow_100,Uncommon,Uncommon,Uncommon,VeryRare
